timestamp,name,X,Y,pitch,loaded,destination,Emergency,TaskId
30,Agv07,10,4,0,true,EP09,false,
30,Agv08,14,11,270,true,EP13,false,
30,Agv09,10,13,0,true,EP15,false,
30,Agv10,14,6,180,true,EP01,true,
30,Agv11,14,5,180,true,EP09,false,
30,Agv12,7,11,270,true,EP02,false,
31,Agv01,2,15,270,false,,false,
31,Agv02,8,7,0,false,,false,
31,Agv03,19,6,90,true,EP09,false,
31,Agv04,6,5,270,true,EP01,false,
31,Agv05,5,10,180,true,EP04,false,
31,Agv06,17,10,0,false,,false,
31,Agv07,11,4,0,true,EP09,false,
31,Agv08,14,10,270,true,EP13,false,
31,Agv09,11,13,0,true,EP15,false,
31,Agv10,13,6,180,true,EP01,true,
31,Agv11,13,5,180,true,EP09,false,
31,Agv12,7,10,270,true,EP02,false,
32,Agv01,2,14,270,false,,false,
32,Agv02,9,7,0,false,,false,
32,Agv03,19,6,180,true,EP09,false,
32,Agv04,6,5,270,false,,false,
32,Agv05,5,10,90,true,EP04,false,
32,Agv06,18,10,0,false,,false,
32,Agv07,11,4,0,false,,false,
32,Agv08,14,9,270,true,EP13,false,
32,Agv09,12,13,0,true,EP15,false,
32,Agv10,12,6,180,true,EP01,true,
32,Agv11,12,5,180,true,EP09,false,
32,Agv12,7,9,270,true,EP02,false,
33,Agv01,2,14,270,true,EP07,false,
33,Agv02,10,7,0,false,,false,
33,Agv03,18,6,180,true,EP09,false,
33,Agv04,6,5,180,false,,false,
33,Agv05,5,11,90,true,EP04,false,
33,Agv06,19,10,0,false,,false,
33,Agv07,11,4,90,false,,false,
33,Agv08,14,8,270,true,EP13,false,
33,Agv09,13,13,0,true,EP15,false,
33,Agv10,11,6,180,true,EP01,true,
33,Agv11,12,5,180,false,,false,
33,Agv12,7,8,270,true,EP02,false,
34,Agv01,2,13,270,true,EP07,false,
34,Agv02,11,7,0,false,,false,
34,Agv03,17,6,180,true,EP09,false,
34,Agv04,5,5,180,false,,false,
34,Agv05,5,12,90,true,EP04,false,
34,Agv06,19,10,0,true,EP03,false,
34,Agv07,11,5,90,false,,false,
34,Agv08,14,7,270,true,EP13,false,
34,Agv09,14,13,0,true,EP15,false,
34,Agv10,10,6,180,true,EP01,true,
34,Agv11,12,5,0,false,,false,
34,Agv12,7,8,270,false,,false,
35,Agv01,2,13,0,true,EP07,false,
35,Agv02,12,7,0,false,,false,
35,Agv03,16,6,180,true,EP09,false,
35,Agv04,4,5,180,false,,false,
35,Agv05,5,13,90,true,EP04,false,
35,Agv06,19,10,180,true,EP03,false,
35,Agv07,11,6,90,false,,false,
35,Agv08,14,6,270,true,EP13,false,
35,Agv09,15,13,0,true,EP15,false,
35,Agv10,9,6,180,true,EP01,true,
35,Agv11,13,5,0,false,,false,
35,Agv12,7,8,90,false,,false,
36,Agv01,3,13,0,true,EP07,false,
36,Agv02,13,7,0,false,,false,
36,Agv03,15,6,180,true,EP09,false,
36,Agv04,3,5,180,false,,false,
36,Agv05,5,14,90,true,EP04,false,
36,Agv06,18,10,180,true,EP03,false,
36,Agv07,11,7,90,false,,false,
36,Agv08,14,5,270,true,EP13,false,
36,Agv09,15,13,0,false,,false,
36,Agv10,8,6,180,true,EP01,true,
36,Agv11,13,5,180,false,,false,
36,Agv12,7,9,90,false,,false,
37,Agv01,4,13,0,true,EP07,false,
37,Agv02,14,7,0,false,,false,
37,Agv03,14,6,180,true,EP09,false,
37,Agv04,2,5,180,false,,false,
37,Agv05,5,15,90,true,EP04,false,
37,Agv06,17,10,180,true,EP03,false,
37,Agv07,11,7,180,false,,false,
37,Agv08,14,4,270,true,EP13,false,
37,Agv09,16,13,0,false,,false,
37,Agv10,7,6,180,true,EP01,true,
37,Agv11,13,5,90,false,,false,
37,Agv12,7,10,90,false,,false,
38,Agv01,5,13,0,true,EP07,false,
38,Agv02,15,7,0,false,,false,
38,Agv03,13,6,180,true,EP09,false,
38,Agv04,2,5,90,false,,false,
38,Agv05,5,16,90,true,EP04,false,
38,Agv06,16,10,180,true,EP03,false,
38,Agv07,10,7,180,false,,false,
38,Agv08,14,4,270,false,,false,
38,Agv09,17,13,0,false,,false,
38,Agv10,6,6,180,true,EP01,true,
38,Agv11,13,5,0,false,,false,
38,Agv12,7,10,180,false,,false,
39,Agv01,6,13,0,true,EP07,false,
39,Agv02,16,7,0,false,,false,
39,Agv03,12,6,180,true,EP09,false,
39,Agv04,2,6,90,false,,false,
39,Agv05,5,16,90,false,,false,
39,Agv06,15,10,180,true,EP03,false,
39,Agv07,9,7,180,false,,false,
39,Agv08,14,4,90,false,,false,
39,Agv09,18,13,0,false,,false,
39,Agv10,6,6,270,true,EP01,true,
39,Agv11,14,5,0,false,,false,
39,Agv12,6,10,180,false,,false,
40,Agv01,7,13,0,true,EP07,false,
40,Agv02,17,7,0,false,,false,
40,Agv03,12,6,270,true,EP09,false,
40,Agv04,2,6,90,true,EP07,false,
40,Agv05,5,16,180,false,,false,
40,Agv06,14,10,180,true,EP03,false,
40,Agv07,8,7,180,false,,false,
40,Agv08,14,4,270,false,,false,
40,Agv09,19,13,0,false,,false,
40,Agv10,6,5,270,true,EP01,true,
40,Agv11,15,5,0,false,,false,
40,Agv12,5,10,180,false,,false,
41,Agv01,8,13,0,true,EP07,false,
41,Agv02,18,7,0,false,,false,
41,Agv03,12,5,270,true,EP09,false,
41,Agv04,2,7,90,true,EP07,false,
41,Agv05,4,16,180,false,,false,
41,Agv06,13,10,180,true,EP03,false,
41,Agv07,7,7,180,false,,false,
41,Agv08,14,4,90,false,,false,
41,Agv09,19,13,270,false,,false,
41,Agv10,6,5,270,false,,false,
41,Agv11,16,5,0,false,,false,
41,Agv12,4,10,180,false,,false,
42,Agv01,9,13,0,true,EP07,false,
42,Agv02,19,7,0,false,,false,
42,Agv03,12,5,270,false,,false,
42,Agv04,2,8,90,true,EP07,false,
42,Agv05,3,16,180,false,,false,
42,Agv06,12,10,180,true,EP03,false,
42,Agv07,6,7,180,false,,false,
42,Agv08,14,5,90,false,,false,
42,Agv09,19,12,270,false,,false,
42,Agv10,6,5,0,false,,false,
42,Agv11,17,5,0,false,,false,
42,Agv12,3,10,180,false,,false,
43,Agv01,9,13,0,false,,false,
43,Agv02,19,7,270,false,,false,
43,Agv03,12,5,0,false,,false,
43,Agv04,2,9,90,true,EP07,false,
43,Agv05,2,16,180,false,,false,
43,Agv06,11,10,180,true,EP03,false,
43,Agv07,5,7,180,false,,false,
43,Agv08,14,6,90,false,,false,
43,Agv09,19,11,270,false,,false,
43,Agv10,6,5,180,false,,false,
43,Agv11,18,5,0,false,,false,
43,Agv12,2,10,180,false,,false,
44,Agv01,9,13,180,false,,false,
44,Agv02,19,6,270,false,,false,
44,Agv03,13,5,0,false,,false,
44,Agv04,2,9,0,true,EP07,false,
44,Agv05,2,16,270,false,,false,
44,Agv06,10,10,180,true,EP03,false,
44,Agv07,4,7,180,false,,false,
44,Agv08,14,6,0,false,,false,
44,Agv09,19,10,270,false,,false,
44,Agv10,5,5,180,false,,false,
44,Agv11,19,5,0,false,,false,
44,Agv12,2,10,180,true,EP01,false,
45,Agv01,9,13,0,false,,false,
45,Agv02,19,6,270,true,EP14,false,
45,Agv03,14,5,0,false,,false,
45,Agv04,3,9,0,true,EP07,false,
45,Agv05,2,15,270,false,,false,
45,Agv06,9,10,180,true,EP03,false,
45,Agv07,3,7,180,false,,false,
45,Agv08,15,6,0,false,,false,
45,Agv09,19,10,270,true,EP06,false,
45,Agv10,4,5,180,false,,false,
45,Agv11,19,5,180,false,,false,
45,Agv12,2,10,270,true,EP01,false,
46,Agv01,10,13,0,false,,false,
46,Agv02,19,6,180,true,EP14,false,
46,Agv03,15,5,0,false,,false,
46,Agv04,4,9,0,true,EP07,false,
46,Agv05,2,14,270,false,,false,
46,Agv06,8,10,180,true,EP03,false,
46,Agv07,2,7,180,false,,false,
46,Agv08,16,6,0,false,,false,
46,Agv09,19,9,270,true,EP06,false,
46,Agv10,3,5,180,false,,false,
46,Agv11,18,5,180,false,,false,
46,Agv12,2,9,270,true,EP01,false,
47,Agv01,10,13,180,false,,false,
47,Agv02,18,6,180,true,EP14,false,
47,Agv03,16,5,0,false,,false,
47,Agv04,5,9,0,true,EP07,false,
47,Agv05,2,14,270,true,EP04,false,
47,Agv06,7,10,180,true,EP03,false,
47,Agv07,2,7,270,false,,false,
47,Agv08,17,6,0,false,,false,
47,Agv09,19,9,180,true,EP06,false,
47,Agv10,2,5,180,false,,false,
47,Agv11,18,5,0,false,,false,
47,Agv12,2,8,270,true,EP01,false,
48,Agv01,9,13,180,false,,false,
48,Agv02,18,6,90,true,EP14,false,
48,Agv03,17,5,0,false,,false,
48,Agv04,6,9,0,true,EP07,false,
48,Agv05,2,14,0,true,EP04,false,
48,Agv06,6,10,180,true,EP03,false,
48,Agv07,2,6,270,false,,false,
48,Agv08,17,6,90,false,,false,
48,Agv09,18,9,180,true,EP06,false,
48,Agv10,2,5,90,false,,false,
48,Agv11,19,5,0,false,,false,
48,Agv12,2,8,0,true,EP01,false,
49,Agv01,8,13,180,false,,false,
49,Agv02,18,7,90,true,EP14,false,
49,Agv03,17,5,180,false,,false,
49,Agv04,7,9,0,true,EP07,false,
49,Agv05,3,14,0,true,EP04,false,
49,Agv06,6,10,90,true,EP03,false,
49,Agv07,2,6,270,true,EP08,false,
49,Agv08,17,7,90,false,,false,
49,Agv09,17,9,180,true,EP06,false,
49,Agv10,2,5,0,false,,false,
49,Agv11,19,5,90,false,,false,
49,Agv12,3,8,0,true,EP01,false,
50,Agv01,7,13,180,false,,false,
50,Agv02,18,8,90,true,EP14,false,
50,Agv03,16,5,180,false,,false,
50,Agv04,8,9,0,true,EP07,false,
50,Agv05,4,14,0,true,EP04,false,
50,Agv06,6,11,90,true,EP03,false,
50,Agv07,2,6,90,true,EP08,false,
50,Agv08,17,8,90,false,,false,
50,Agv09,16,9,180,true,EP06,false,
50,Agv10,3,5,0,false,,false,
50,Agv11,19,6,90,false,,false,
50,Agv12,4,8,0,true,EP01,false,
51,Agv01,6,13,180,false,,false,
51,Agv02,18,9,90,true,EP14,false,
51,Agv03,16,5,0,false,,false,
51,Agv04,9,9,0,true,EP07,false,
51,Agv05,5,14,0,true,EP04,false,
51,Agv06,6,11,90,false,,false,
51,Agv07,2,7,90,true,EP08,false,
51,Agv08,17,9,90,false,,false,
51,Agv09,15,9,180,true,EP06,false,
51,Agv10,3,5,90,false,,false,
51,Agv11,19,6,90,true,EP09,false,
51,Agv12,5,8,0,true,EP01,false,
52,Agv01,5,13,180,false,,false,
52,Agv02,18,9,270,true,EP14,false,
52,Agv03,17,5,0,false,,false,
52,Agv04,9,9,90,true,EP07,false,
52,Agv05,6,14,0,true,EP04,false,
52,Agv06,6,11,180,false,,false,
52,Agv07,2,8,90,true,EP08,false,
52,Agv08,17,10,90,false,,false,
52,Agv09,14,9,180,true,EP06,false,
52,Agv10,3,6,90,false,,false,
52,Agv11,19,6,180,true,EP09,false,
52,Agv12,5,8,270,true,EP01,false,
53,Agv01,4,13,180,false,,false,
53,Agv02,18,8,270,true,EP14,false,
53,Agv03,18,5,0,false,,false,
53,Agv04,9,10,90,true,EP07,false,
53,Agv05,6,14,90,true,EP04,false,
53,Agv06,5,11,180,false,,false,
53,Agv07,2,9,90,true,EP08,false,
53,Agv08,17,10,0,false,,false,
53,Agv09,13,9,180,true,EP06,false,
53,Agv10,3,6,180,false,,false,
53,Agv11,18,6,180,true,EP09,false,
53,Agv12,5,7,270,true,EP01,false,
54,Agv01,3,13,180,false,,false,
54,Agv02,18,8,180,true,EP14,false,
54,Agv03,19,5,0,false,,false,
54,Agv04,9,11,90,true,EP07,false,
54,Agv05,6,15,90,true,EP04,false,
54,Agv06,4,11,180,false,,false,
54,Agv07,2,10,90,true,EP08,false,
54,Agv08,18,10,0,false,,false,
54,Agv09,12,9,180,true,EP06,false,
54,Agv10,2,6,180,false,,false,
54,Agv11,17,6,180,true,EP09,false,
54,Agv12,5,6,270,true,EP01,false,
55,Agv01,2,13,180,false,,false,
55,Agv02,17,8,180,true,EP14,false,
55,Agv03,19,5,90,false,,false,
55,Agv04,9,11,90,false,,false,
55,Agv05,6,15,90,false,,false,
55,Agv06,3,11,180,false,,false,
55,Agv07,2,11,90,true,EP08,false,
55,Agv08,19,10,0,false,,false,
55,Agv09,11,9,180,true,EP06,false,
55,Agv10,2,6,180,true,EP11,false,
55,Agv11,16,6,180,true,EP09,false,
55,Agv12,5,5,270,true,EP01,false,
56,Agv01,2,13,90,false,,false,
56,Agv02,16,8,180,true,EP14,false,
56,Agv03,19,6,90,false,,false,
56,Agv04,9,11,0,false,,false,
56,Agv05,6,15,180,false,,false,
56,Agv06,2,11,180,false,,false,
56,Agv07,2,12,90,true,EP08,false,
56,Agv08,19,10,0,true,EP01,false,
56,Agv09,10,9,180,true,EP06,false,
56,Agv10,2,6,0,true,EP11,false,
56,Agv11,15,6,180,true,EP09,false,
56,Agv12,5,4,270,true,EP01,false,
57,Agv01,2,14,90,false,,false,
57,Agv02,16,8,180,false,,false,
57,Agv03,19,6,90,true,EP01,false,
57,Agv04,10,11,0,false,,false,
57,Agv05,6,15,0,false,,false,
57,Agv06,2,11,270,false,,false,
57,Agv07,2,12,0,true,EP08,false,
57,Agv08,19,10,180,true,EP01,false,
57,Agv09,9,9,180,true,EP06,false,
57,Agv10,3,6,0,true,EP11,false,
57,Agv11,14,6,180,true,EP09,false,
57,Agv12,5,4,270,false,,false,
58,Agv01,2,14,90,true,EP12,false,
58,Agv02,16,8,0,false,,false,
58,Agv03,19,6,180,true,EP01,false,
58,Agv04,11,11,0,false,,false,
58,Agv05,6,15,180,false,,false,
58,Agv06,2,10,270,false,,false,
58,Agv07,3,12,0,true,EP08,false,
58,Agv08,18,10,180,true,EP01,false,
58,Agv09,9,9,180,false,,false,
58,Agv10,4,6,0,true,EP11,false,
58,Agv11,13,6,180,true,EP09,false,
58,Agv12,5,4,180,false,,false,
59,Agv01,2,15,90,true,EP12,false,
59,Agv02,17,8,0,false,,false,
59,Agv03,18,6,180,true,EP01,false,
59,Agv04,12,11,0,false,,false,
59,Agv05,5,15,180,false,,false,
59,Agv06,2,10,270,true,EP04,false,
59,Agv07,4,12,0,true,EP08,false,
59,Agv08,17,10,180,true,EP01,false,
59,Agv09,8,9,180,false,,false,
59,Agv10,5,6,0,true,EP11,false,
59,Agv11,12,6,180,true,EP09,false,
59,Agv12,4,4,180,false,,false,
60,Agv01,2,15,0,true,EP12,false,
60,Agv02,18,8,0,false,,false,
60,Agv03,17,6,180,true,EP01,false,
60,Agv04,13,11,0,false,,false,
60,Agv05,4,15,180,false,,false,
60,Agv06,2,10,90,true,EP04,false,
60,Agv07,5,12,0,true,EP08,false,
60,Agv08,16,10,180,true,EP01,false,
60,Agv09,7,9,180,false,,false,
60,Agv10,6,6,0,true,EP11,false,
60,Agv11,12,6,270,true,EP09,false,
60,Agv12,3,4,180,false,,false,
61,Agv01,3,15,0,true,EP12,false,
61,Agv02,19,8,0,false,,false,
61,Agv03,16,6,180,true,EP01,false,
61,Agv04,14,11,0,false,,false,
61,Agv05,4,15,270,false,,false,
61,Agv06,2,11,90,true,EP04,false,
61,Agv07,5,12,90,true,EP08,false,
61,Agv08,15,10,180,true,EP01,false,
61,Agv09,6,9,180,false,,false,
61,Agv10,7,6,0,true,EP11,false,
61,Agv11,12,5,270,true,EP09,false,
61,Agv12,2,4,180,false,,false,
62,Agv01,3,15,90,true,EP12,false,
62,Agv02,19,8,270,false,,false,
62,Agv03,15,6,180,true,EP01,false,
62,Agv04,15,11,0,false,,false,
62,Agv05,4,14,270,false,,false,
